BuyerID,BuyerName,BuyerAge,BuyerGender,BuyerSalary
1,Robert Solomon,15,male,5420.65
2,Kristin Lewis,49,female,4930.35
3,Nicolas Larsen,67,male,10379.51
4,Rebecca Smith,26,female,7364.33
5,Sonya Sloan,23,female,10416.85
6,Eric Hart,27,male,8865.11
7,Diane Morton,32,female,7676.7
8,Arthur Stewart,75,male,10255.1
9,Morgan Cook,32,female,4184.18
10,Marie Hill,17,female,7142.61
11,Michael Hooper,24,male,4712.76
12,Robin Johnson,32,female,8447.87
13,Christopher Pierce,45,male,4312.77
14,Aaron Garcia,74,male,10439.99
15,Lori Wood,69,female,7653.48
16,Lori Chambers,72,female,6206.38
17,Jeffrey Baker,63,male,8056.11
18,Jeffrey Foster,71,male,6374.37
19,Lisa Smith,12,female,9685.91
20,Matthew Parker,14,male,7266.65
21,Misty Reed,26,female,5317.96
22,Alexandra Martin,57,female,9984.61
23,Victor Miller,68,male,4758.66
24,Connie Fuller,37,female,5383.89
25,Jordan Rogers,58,male,4273.62
26,John Contreras,48,male,4342.74
27,Sarah Morales,26,female,4170.34
28,Kevin Carpenter,71,male,9482.63
29,Autumn Hurley DVM,72,female,5084.49
30,Andrew Chandler,36,male,10060.16
31,Christine Rogers,21,female,8924.24
32,Jeremiah Gay,36,male,4057.65
33,Jessica Buck,51,female,7115.52
34,Dr. Daniel Lane,68,male,8963.6
35,Kimberly Hart,59,female,4469.57
36,Joseph Baker,13,male,5078.36
37,Noah Williams,36,male,5046.06
38,Catherine Branch,16,female,4717.22
39,Mrs. Christina Webb,74,female,8099.43
40,Jacob Mcdonald,25,male,8654.81
41,Jimmy Baker,50,male,4559.05
42,Rachel Miller,67,female,4790.4
43,Susan Gibson,28,female,8860.87
44,Drew Brown,13,male,10326.95
45,Stephanie Fernandez,26,female,10103.81
46,Pamela Flores,18,female,3793.96
47,Tonya Austin,19,female,7199.99
48,Robert Jones,33,male,6435.63
49,Jason Nichols,59,male,8226.61
50,Scott Dennis,38,male,5988.82
51,Robert Knox,29,male,8640.31
52,Dr. Stephen Wolf,43,male,8584.7
53,Angela Shaffer,21,female,5378.12
54,Donald Mcdonald,53,male,7948.77
55,Lawrence Snyder,74,male,6109.27
56,Alexander Figueroa,36,male,7520.93
57,Randall Dunn,63,male,7443.41
58,Brian Macdonald,28,male,5976.55
59,Jason Snyder,26,male,8183.89
60,Lauren Nunez,24,female,10776.28
61,Daniel Roberts,61,male,8558.42
62,Alison Powers,54,female,3614.75
63,Brenda Ross,54,female,6562.06
64,Megan Love,45,female,10205.07
65,Emily Morris,47,female,6646.14
66,Casey Sandoval,73,male,8974.67
67,Jennifer Newman,33,female,10868.33
68,Reginald Hardy PhD,59,male,9576.53
69,Laurie Lambert,58,female,9670.74
70,Brianna Fleming,47,female,3517.58
71,Stacey Gill,63,female,4794.79
72,Elizabeth Brown,20,female,6843.78
73,Tanya Jenkins,25,female,4767.45
74,April Martinez,34,female,7528.17
75,Meghan Johnson,33,female,10876.13
76,Linda Lopez,47,female,8360.28
77,Patricia Johnson,57,female,7661.39
78,Angela Kerr,31,female,4974.28
79,Tom Sanders,30,male,8291.64
80,Benjamin Anderson,28,male,9844.61
81,Lisa Cervantes,57,female,4357.48
82,Mckenzie Gonzales,59,female,10257.45
83,Robert Payne,70,male,7006.56
84,Jessica Beard,27,female,5315.64
85,Jared Miller,52,male,7282.97
86,Mariah Blackburn,42,female,10688.97
87,Anthony Ross,61,male,9319.89
88,Justin Chavez,68,male,5769.23
89,Jeffery Fitzgerald,40,male,4363.62
90,Maria Deleon,46,female,8647.37
91,Emily Smith,37,female,9459.83
92,Gina Anderson,22,female,5904.17
93,Emily Duran,62,female,9653.8
94,Lisa Bishop,43,female,6560.31
95,Julie Wilson,70,female,9605.31
96,Julie Castro,60,female,10299.82
97,Alex Walker,20,male,5915.97
98,Kimberly Lewis,25,female,9390.07
99,Amber Horton,57,female,10138.65
100,Gina Wilson,14,female,5294.02
101,Richard Sanchez,16,male,7686.96
102,Thomas Wilson Jr.,58,male,5775.2
103,Julie Martin,59,female,5513.36
104,Jordan Taylor,25,female,7086.55
105,Charles Valdez,75,male,3680.27
106,Daniel Woods,44,male,10898.76
107,Christopher Blair,57,male,4029.12
108,Mary Higgins,41,female,10651.28
109,Michael Glover,39,male,4752.13
110,David Hall,60,male,5013.34
111,Richard Pearson,27,male,7627.12
112,Pamela Morris,13,female,4096.2
113,Vernon Martinez,26,male,4027.4
114,Michael Adams,12,male,10724.77
115,Mike Hale,64,male,6385.95
116,Thomas Jones,48,male,9151.42
117,Christopher Jones,66,male,3902.95
118,Lindsey Wells,42,female,9386.39
119,Robert Rivera,12,male,3756.72
120,Glenn Rangel,59,male,6134.68
121,Jessica Robinson,71,female,9573.35
122,Joseph Harding,38,male,4079.99
123,Tyler Foster,61,male,4029.21
124,Stephen Taylor,62,male,4861.08
125,Michael Collins,62,male,10746.59
126,Michael Shaw,56,male,6904.93
127,Luke Roberts,52,male,9316.6
128,Lawrence Diaz,17,male,6621.49
129,Christopher Brown,48,male,10974.34
130,Connie Fernandez,24,female,6186.87
131,Cindy Stewart,20,female,8721.33
132,Kimberly Cole,49,female,8176.48
133,Robert Jackson,33,male,4300.33
134,Brandon Baker,27,male,10521.88
135,Joshua Brown,35,male,3849.53
136,Carlos Lopez,61,male,6155.71
137,Jennifer Gonzalez,39,female,10091.08
138,William Vargas,27,male,8681.46
139,Ashley Pittman,18,female,6234.6
140,Daniel Jefferson,55,male,10515.65
141,Adam Hartman,55,male,6172.2
142,Karen Curry,23,female,3741.09
143,Albert Knight,70,male,10154.9
144,Alyssa Estrada,24,female,9767.06
145,James Campbell,13,male,7822.06
146,Rebecca Sanchez,26,female,9180.49
147,Christie Frank,15,female,5570.87
148,Felicia Riley,25,female,7584.81
149,Laura Marshall,44,female,10688.99
150,Raymond Zamora,56,male,10935.48
151,Charles Kemp,39,male,7788.74
152,Mr. Jim Robinson,39,male,10938.7
153,Kimberly Graham,13,female,8868.97
154,James Moreno,50,male,10420.75
155,Amanda Flynn,30,female,6407.71
156,Kyle Goodwin,62,male,5061.41
157,Melissa Myers,71,female,10724.86
158,Jessica Stanton,28,female,7903.99
159,Kim Ruiz,35,female,9529.82
160,Cory Obrien,63,male,8237.32
161,Michael Rasmussen,69,male,4665.73
162,Tracy Spence,74,female,8835.73
163,Mark Flores,50,male,4997.94
164,Lorraine Hughes MD,22,female,4529.86
165,Michelle Fletcher,51,female,5139.68
166,Elizabeth Booth,30,female,7525.97
167,Leslie Anderson,49,female,3840.39
168,Scott King,23,male,5455.97
169,Brian Mccoy,15,male,6389.49
170,Michael Adkins,49,male,3808.49
171,Brian Watkins,28,male,5630.09
172,Dawn Marsh,70,female,6270.88
173,Andrea Howe,13,female,3637.84
174,Debra Daniels,75,female,7621.67
175,Alex Estrada,15,male,6141.77
176,Debbie Mason,21,female,10088.17
177,Patricia Hernandez,29,female,5311.17
178,Valerie Chambers,46,female,8719.51
179,Christopher Hardy,50,male,9851.54
180,Ashley Barnett,72,female,4525.57
181,Troy Johnson,54,male,8204.69
182,Kimberly Garcia,53,female,7635.26
183,Mason Jackson,71,male,10942.04
184,Tracy Sanchez,71,female,6594.53
185,Mark Pena,75,male,8316.93
186,Kyle Clark,39,male,7684.45
187,Timothy Burns,74,male,5707.26
188,David Sullivan,52,male,3881.57
189,Michael Allen,70,male,8237.56
190,Jeremy Jones,23,male,6071.03
191,Kevin Green,37,male,6089.2
192,Stephen Gonzalez,19,male,4338.88
193,Amanda Matthews,74,female,9172.31
194,Michael Jacobs,43,male,9923.48
195,Nicholas Perkins,34,male,9807.76
196,Michael Macdonald,23,male,3806.48
197,Ashley Kim MD,24,female,8567.06
198,Lisa Mosley,51,female,10644.0
199,Scott Ramos,33,male,3523.6
200,Tiffany Allen,59,female,10851.46
201,Peter Hudson,50,male,8107.08
202,Janet Garner,32,female,9129.3
203,Kelly Ray,30,female,8974.52
204,William Nielsen,35,male,8581.76
205,Angela Bell,21,female,10528.83
206,Wendy Jones,24,female,5476.31
207,Joshua Merritt,57,male,3923.9
208,Mrs. Chelsea Riggs,23,female,8877.21
209,Jessica Sellers,49,female,8898.96
210,Gary Hall,69,male,10021.2
211,Patricia Dyer,55,female,7017.36
212,Alexis Rivera,71,female,10403.75
213,Sarah Duffy,36,female,4299.62
214,Daniel Fleming,39,male,5875.76
215,Brittany Garza,28,female,7924.34
216,Amber French,63,female,5403.69
217,Vanessa Schwartz,65,female,6698.2
218,Sherri Hampton,48,female,5829.23
219,Ricky Greene,16,male,6489.78
220,Colin Richards,75,male,3672.55
221,Taylor Alexander,27,female,6343.27
222,Paul Brady,48,male,7706.7
223,Melissa Parrish,59,female,9364.42
224,Teresa Stewart,52,female,9806.04
225,Shawn Harris,12,male,9074.36
226,Julia Lambert,73,female,5010.47
227,Kathy Davis,33,female,10995.77
228,Taylor Gonzales,44,female,6130.56
229,Kathleen Hall,69,female,7273.23
230,Brandi Bell,29,female,8038.47
231,John Williams,13,male,7532.4
232,Anthony Allen,43,male,5269.75
233,Samantha Contreras,34,female,9340.94
234,Sarah Reyes,20,female,4244.43
235,Michelle Walker,66,female,9942.94
236,Patricia Hughes,42,female,6570.14
237,Andrew Harris,42,male,4107.81
238,Diana Nelson,51,female,3782.6
239,Whitney Silva,35,female,10615.08
240,Emily Rocha,12,female,6270.08
241,Melissa Fox,67,female,6386.23
242,Cameron Reyes,56,male,6944.3
243,Felicia Charles,31,female,3641.27
244,Amanda Garza,75,female,10756.38
245,Douglas Kelly,20,male,7850.78
246,Michael Carroll,37,male,6124.67
247,Paul Freeman,65,male,5397.68
248,Vincent Lucas,42,male,8677.7
249,Jennifer Knight,28,female,8966.63
250,Michelle Foley,35,female,10167.04
251,Taylor Thornton,51,male,7929.84
252,Rebecca Valdez,55,female,4735.68
253,Abigail Davis,20,female,8298.21
254,Jennifer Anderson,17,female,5307.12
255,Mark Garcia,32,male,3845.46
256,Robert Perez,43,male,5503.54
257,Samuel Jordan,75,male,4926.12
258,Derek Green,38,male,5739.43
259,Karen Owens,57,female,4773.59
260,Shelby Martinez,51,female,7365.09
261,Abigail Weaver DDS,58,female,6383.81
262,Timothy Collins,17,male,10220.62
263,Darryl Horne,48,male,6022.36
264,Kathleen Love,28,female,10580.47
265,Judith Moon,16,female,5383.69
266,Michelle Buck,14,female,8967.66
267,Michael Day,25,male,8814.66
268,Seth Luna,27,male,5725.49
269,Michael Bell,59,male,10998.74
270,Amy Warner,19,female,9177.64
271,Terry Anderson,72,male,5117.88
272,Theresa Wilkins,40,female,4469.25
273,Kyle Bender,37,male,7505.49
274,Elizabeth Walker,34,female,9192.14
275,Kenneth Jones,55,male,4316.21
276,William Alvarado,37,male,10060.51
277,Randy Smith,16,male,7478.21
278,Erica Nelson,38,female,7062.68
279,Erin Frazier,67,female,6276.67
280,Wayne Pacheco,42,male,6356.09
281,Christina Kline,24,female,6982.73
282,Adam Crosby,36,male,8646.52
283,Jesse Butler,33,male,6790.04
284,Natasha Bridges,36,female,7127.07
285,Julie Mckinney,73,female,9533.39
286,Crystal Malone,57,female,5471.6
287,Dr. Aaron Sampson,28,male,9477.58
288,William Perez,49,male,9924.02
289,Lindsey Anderson,32,female,8547.11
290,Walter Harris,18,male,6145.05
291,Angie Perez,71,female,8146.45
292,Elizabeth Harris,60,female,9832.11
293,Nathaniel Stephens,41,male,8677.93
294,Rebecca Greer,54,female,9392.63
295,James Cruz,12,male,5406.78
296,Steven Swanson,48,male,9868.31
297,Jerry Howard,58,male,4165.27
298,Dr. Jason Franklin,67,male,8822.44
299,Heather Novak,20,female,10430.27
300,Kimberly George,12,female,6576.96
301,Megan Beck,45,female,10687.74
302,Andrew Hernandez,59,male,8323.27
303,Olivia Vargas,37,female,6502.95
304,David Ayala,42,male,5079.04
305,Andrew Santiago,74,male,8130.45
306,Mary Sheppard,42,female,4584.14
307,Erica Hodges,50,female,6868.49
308,Elizabeth Henderson,73,female,5384.38
309,David Fowler,55,male,5455.16
310,Michael Ewing,62,male,7680.4
311,Bradley Wright,56,male,5548.5
312,Elizabeth Snyder,18,female,4856.59
313,Kimberly Bell,55,female,9835.36
314,Philip Norris,36,male,8206.38
315,Anna Ramirez,62,female,9850.72
316,Julie Sharp,19,female,4923.16
317,Miss Kimberly Newman,40,female,7554.69
318,James Simpson,34,male,8991.89
319,Deborah Parker,71,female,5086.55
320,Melissa Schultz,58,female,5210.08
321,William Kelly,71,male,9061.49
322,Gregory Santiago,51,male,5648.98
323,Whitney Davis,43,female,4727.42
324,Brian Harris,42,male,7741.16
325,James Aguilar,35,male,6234.09
326,Stephanie Smith,37,female,6802.18
327,Micheal Campbell,28,male,10025.14
328,Hannah Dickerson,60,female,8303.83
329,Michelle Rosales,25,female,10633.58
330,Daniel Soto,48,male,10614.75
331,Brian Becker,66,male,5624.94
332,Christopher Parker,13,male,10842.18
333,Olivia Reed,67,female,7838.98
334,Maria Carter,55,female,8015.24
335,Michelle Scott,74,female,8521.32
336,Kerry Rodriguez,28,female,6253.42
337,Sheila Morrison,21,female,10818.95
338,Christopher Baker,52,male,3885.12
339,Ryan Jones,51,male,7996.3
340,Ashley Dunn,59,female,9006.78
341,Donald Johnson,61,male,7880.19
342,Nathan Conrad,19,male,9737.3
343,Rachel Smith,63,female,3644.13
344,John Alexander,34,male,10912.54
345,Katrina Boyd,74,female,5694.85
346,Gregory Lawrence,15,male,9228.17
347,Francisco Green,57,male,5182.32
348,Brandon Rodriguez,22,male,6323.15
349,Samantha Miller,73,female,8079.51
350,Anthony Robinson,45,male,7773.5
351,Samuel Wood,44,male,8234.65
352,James Shannon,64,male,9941.66
353,Lori Mclean,32,female,5793.59
354,Valerie Rivera,28,female,9940.86
355,Mary Brown,70,female,7446.07
356,Daniel Bates,56,male,10209.96
357,Vincent Dominguez,27,male,8439.45
358,Taylor Roach,36,female,5941.39
359,Alicia Nichols,24,female,4334.08
360,Candice Torres,47,female,7622.96
361,Chad Perry,25,male,6457.16
362,Sean Medina,56,male,4968.32
363,Lisa Thomas,72,female,5055.15
364,Brandon Robinson,68,male,10444.6
365,Kimberly Alexander,31,female,3588.12
366,Joshua Garcia,28,male,10498.24
367,Robert Martin,41,male,4765.01
368,Lindsey Phillips,66,female,5179.52
369,Jonathan Jones,43,male,7320.14
370,Emily Rios,39,female,10467.41
371,Taylor Wiggins,18,female,6911.62
372,Joshua Perez,45,male,7610.0
